day,date,rain,flow
1,2014/4/24,0,259200
2,2014/4/25,0,259200
3,2014/4/26,0,259200
4,2014/4/27,0,259200
5,2014/4/28,0,259200
6,2014/4/29,0,259200
7,2014/4/30,0,259200
8,2014/5/1,0,259200
9,2014/5/2,0,259200
10,2014/5/3,0,259200
11,2014/5/4,0,259200
12,2014/5/5,0,259200
13,2014/5/6,0,259200
14,2014/5/7,0,259200
15,2014/5/8,0,259200
16,2014/5/9,0,259200
17,2014/5/10,0,259200
18,2014/5/11,0,259200
19,2014/5/12,0,259200
20,2014/5/13,0,259200
21,2014/5/14,0,259200
22,2014/5/15,0,259200
23,2014/5/16,0,259200
24,2014/5/17,0,259200
25,2014/5/18,0,259200
26,2014/5/19,0,259200
27,2014/5/20,0,259200
28,2014/5/21,0,259200
29,2014/5/22,0,259200
30,2014/5/23,0,259200
31,2014/5/24,0,259200
32,2014/5/25,0,259200
33,2014/5/26,0,259200
34,2014/5/27,0,259200
35,2014/5/28,0,259200
36,2014/5/29,0,259200
37,2014/5/30,0,259200
38,2014/5/31,0,259200
39,2014/6/1,0,259200
40,2014/6/2,0,259200
41,2014/6/3,0,259200
42,2014/6/4,0,259200
43,2014/6/5,0,259200
44,2014/6/6,0,259200
45,2014/6/7,0,259200
46,2014/6/8,0,259200
47,2014/6/9,0,259200
48,2014/6/10,0,259200
49,2014/6/11,0,259200
50,2014/6/12,0,259200
51,2014/6/13,0,259200
52,2014/6/14,0,259200
53,2014/6/15,0,259200
54,2014/6/16,0,259200
55,2014/6/17,0,259200
56,2014/6/18,0,259200
57,2014/6/19,0,259200
58,2014/6/20,0,259200
59,2014/6/21,0,259200
60,2014/6/22,0,259200
61,2014/6/23,0,259200
62,2014/6/24,0,259200
63,2014/6/25,0,259200
64,2014/6/26,0,259200
65,2014/6/27,0,259200
66,2014/6/28,0,259200
67,2014/6/29,0,259200
68,2014/6/30,0,259200
69,2014/7/1,0,259200
70,2014/7/2,0,259200
71,2014/7/3,0,259200
72,2014/7/4,0,259200
73,2014/7/5,0,259200
74,2014/7/6,0,259200
75,2014/7/7,0,259200
76,2014/7/8,0,259200
77,2014/7/9,0,259200
78,2014/7/10,0,259200
79,2014/7/11,0,259200
80,2014/7/12,0,259200
81,2014/7/13,0,259200
82,2014/7/14,0,259200
83,2014/7/15,0,259200
84,2014/7/16,0,259200
85,2014/7/17,0,259200
86,2014/7/18,0,259200
