DAHA,rain,irr,drain,perc,seep,et,h
0,NA,NA,NA,NA,NA,NA,5
1,0,2,0,1.6,0,0.4,5
2,0,1.5,0,1.5,0,0,5
3,0,1.6,0,1.48,0,0.12,5
4,0,2,0,1.49,0,0.51,5
5,0,1.9,0,1.5,0,0.4,5
6,0,2.2,0,1.5,0,0.7,5
7,0,1.9,0,1.48,0,0.42,5
8,0,2,0,1.49,0,0.51,5
9,0,2,0,1.49,0,0.51,5
10,0,2,0,1.48,0,0.52,5
11,0,2,0,1.49,0,0.51,5
12,0,2,0,1.46,0,0.54,5
13,0,1.5,0,1.44,0,0.06,5
14,0,1.6,0,1.48,0,0.12,5
15,0,2,0,1.45,0,0.55,5
16,0,1.8,0,1.6,0,0.2,5
17,0,1.8,0,1.6,0,0.2,5
18,0,1.7,0,1.6,0,0.1,5
19,0,1.6,0,1.58,0,0.02,5
20,0,1.7,0,1.58,0,0.12,5
21,0,1.6,0,1.56,0,0.4,5
