"","Kd","ksorp","f","kvol","kbulk","kbios","N","collinearity"
"1",1,1,0,0,0,0,2,1.50512490167389
"2",1,0,1,0,0,0,2,7.04303180263321
"3",1,0,0,1,0,0,2,2.37846202460725
"4",1,0,0,0,1,0,2,2.37846186946587
"5",1,0,0,0,0,1,2,1.7876635804417
"6",0,1,1,0,0,0,2,1.64255288674477
"7",0,1,0,1,0,0,2,1.76133687716174
"8",0,1,0,0,1,0,2,1.76133688814142
"9",0,1,0,0,0,1,2,1.76652040355086
"10",0,0,1,1,0,0,2,3.53389721757488
"11",0,0,1,0,1,0,2,3.53389686908144
"12",0,0,1,0,0,1,2,2.34633660654078
"14",0,0,0,1,0,1,2,6.70369668195667
"15",0,0,0,0,1,1,2,6.70369799845176
"16",1,1,1,0,0,0,3,7.86908047446214
"17",1,1,0,1,0,0,3,2.51380389562372
"18",1,1,0,0,1,0,3,2.51380373584367
"19",1,1,0,0,0,1,3,1.91292917861136
"26",0,1,1,1,0,0,3,3.59137934184738
"27",0,1,1,0,1,0,3,3.59137898919074
"28",0,1,1,0,0,1,3,2.37389037761465
"30",0,1,0,1,0,1,3,6.7042270203038
"31",0,1,0,0,1,1,3,6.70422833484392
